track_id,playlist_id,date_added,track_name,first_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,lyrics,neg,neu,pos,compound
67sypabMU2RWSINGPRT5mV,07zqCIPCroFMKSajvERGvE,2016-11-02T16:13:18Z,Kids On the Boardwalk,Hop Along,0.559,0.589,6,-7.27,1,0.0297,0.149,1.2e-05,0.328,0.869,86.543,audio_features,67sypabMU2RWSINGPRT5mV,spotify:track:67sypabMU2RWSINGPRT5mV,https://api.spotify.com/v1/tracks/67sypabMU2RWSINGPRT5mV,https://api.spotify.com/v1/audio-analysis/67sypabMU2RWSINGPRT5mV,170273,3,"José pushed me on the swing 
 And explained what it was that a b.j meant 
 His stories were dark and deep like 
 His eyes your eyes so full of secrets 
 I guess I loved you right when 
 My mom said your mom's a lesbian 
 It's been so long I probably wouldn't know you 
 If I saw you again 
 I folowed eric, second through fifth grade 
 His raspy voice down the long hallway 
 He liked the dirty drawings I made 
 Girls with impossible breasts 
 I tried to sell him one for fifty cents, 
 Now they're in the back of mrs. Waltz's desk 
 And I hope I never see that boy again. 
 Young love is in the air 
 Young love is cheap, I mean, it's everywhere 
 This ain't no statement of knowledge 
 It's just my defense 
 I've been ignoring the cost 
 Is this love is this love that I've lost? 
 Worst of all ain't nothing big ain't nothing big 
 About this at all 
 Honey, I don't want to 
 Be ok with never 
 Seeing you again 
 You kids on the boardwalk 
 Come back in 
 To the dry, choked up land 
 I want truth and beauty 
 I want to love someone simply 
 I want truth and beauty 
 I want to love something 
 Without it having to need me 
 Beauty 
 I want love someone 
 I want to truth and beauty 
 I want to love something without it having to",0.09,0.646,0.265,0.9952
0rMGFZarxz3rnyt68cHfm6,07zqCIPCroFMKSajvERGvE,2016-11-07T05:30:42Z,Trouble Found Me,Hop Along,0.43,0.0772,0,-11.7,1,0.0309,0.928,0.000287,0.112,0.137,73.607,audio_features,0rMGFZarxz3rnyt68cHfm6,spotify:track:0rMGFZarxz3rnyt68cHfm6,https://api.spotify.com/v1/tracks/0rMGFZarxz3rnyt68cHfm6,https://api.spotify.com/v1/audio-analysis/0rMGFZarxz3rnyt68cHfm6,226551,3,"Trouble found me sleeping 
 So I followed it downstairs 
 Saw my mom on the couch 
 The tv was on, I remember 
 The sound of the chopper flying low 
 We didn't know why it was coming 
 Then they called with the 
 Chicken in the oven 
 It was the chaplain, he said 
 You came in with your 
 Jaw torn, still talking 
 I found you in the hospital asleep 
 I wonder which one of us 
 Looked stranger then 
 Once I thought 
 Being lost was only a part of 
 Being young 
 But the old man in the bed 
 Next to your cot 
 Was screaming lounder than anyone 
 Saying, mama! Mama! Mama! Mama! 
 Little white mice 
 Run across my bed while 
 The nurses play poker outside 
 Oh, my God! 
 How is the other guy? I can't believe 
 Someday I'm gonna die",0.118,0.851,0.032,-0.9056
0nPlbGi675iDCppDNjpl6e,07zqCIPCroFMKSajvERGvE,2016-11-13T07:00:02Z,Here Comes a Thought,Samishiiinu,0.322,0.182,5,-19.308,1,0.0385,0.938,0.915,0.112,0.0694,66.043,audio_features,0nPlbGi675iDCppDNjpl6e,spotify:track:0nPlbGi675iDCppDNjpl6e,https://api.spotify.com/v1/tracks/0nPlbGi675iDCppDNjpl6e,https://api.spotify.com/v1/audio-analysis/0nPlbGi675iDCppDNjpl6e,211168,3,,,,,
1QMwFv4b7IPbzLTfbp1nPt,07zqCIPCroFMKSajvERGvE,2016-11-20T17:40:40Z,Denial,Mannequin Pussy,0.382,0.912,4,-6.023,1,0.0467,9.53e-05,3.44e-06,0.329,0.959,169.426,audio_features,1QMwFv4b7IPbzLTfbp1nPt,spotify:track:1QMwFv4b7IPbzLTfbp1nPt,https://api.spotify.com/v1/tracks/1QMwFv4b7IPbzLTfbp1nPt,https://api.spotify.com/v1/audio-analysis/1QMwFv4b7IPbzLTfbp1nPt,118038,4,,,,,
5nyUqodtLIP5Ncuv2hc10k,07zqCIPCroFMKSajvERGvE,2016-11-24T00:51:16Z,Passing By - Original,Yiruma,0.275,0.157,2,-20.127,1,0.035,0.989,0.903,0.0789,0.0614,80.477,audio_features,5nyUqodtLIP5Ncuv2hc10k,spotify:track:5nyUqodtLIP5Ncuv2hc10k,https://api.spotify.com/v1/tracks/5nyUqodtLIP5Ncuv2hc10k,https://api.spotify.com/v1/audio-analysis/5nyUqodtLIP5Ncuv2hc10k,273717,4,,,,,
6llpUv4y59Kd5ZqQ2gugbb,07zqCIPCroFMKSajvERGvE,2016-11-29T05:52:39Z,Wool in the Wash,Crying,0.615,0.81,9,-5.008,1,0.0582,0.0374,0.00203,0.233,0.769,135.011,audio_features,6llpUv4y59Kd5ZqQ2gugbb,spotify:track:6llpUv4y59Kd5ZqQ2gugbb,https://api.spotify.com/v1/tracks/6llpUv4y59Kd5ZqQ2gugbb,https://api.spotify.com/v1/audio-analysis/6llpUv4y59Kd5ZqQ2gugbb,236960,4,,,,,
5WXPowQPGcyhFY5IYOWTuL,30PgYnoeT2PAgFNuYLR5qd,2016-12-14T22:25:26Z,Patriot,Crying,0.399,0.909,7,-3.958,1,0.0854,0.00997,0.00145,0.132,0.421,144.836,audio_features,5WXPowQPGcyhFY5IYOWTuL,spotify:track:5WXPowQPGcyhFY5IYOWTuL,https://api.spotify.com/v1/tracks/5WXPowQPGcyhFY5IYOWTuL,https://api.spotify.com/v1/audio-analysis/5WXPowQPGcyhFY5IYOWTuL,190373,4,,,,,
2OUMNIty0ZNqa185mVRehF,30PgYnoeT2PAgFNuYLR5qd,2016-12-25T19:44:42Z,Lush LIfe,Billy Strayhorn,0.413,0.149,3,-15.895,0,0.035,0.995,0.92,0.108,0.104,67.546,audio_features,2OUMNIty0ZNqa185mVRehF,spotify:track:2OUMNIty0ZNqa185mVRehF,https://api.spotify.com/v1/tracks/2OUMNIty0ZNqa185mVRehF,https://api.spotify.com/v1/audio-analysis/2OUMNIty0ZNqa185mVRehF,209026,4,"I used to visit all the very gay places 
 Those come-what-may places 
 Where one relaxes on the axis 
 Of the wheel of life 
 To get the feel of life 
 From jazz and cocktails 
 The gals I knew had sad and sullen gray faces 
 With distingué traces 
 That used to be there 
 You could see where 
 They'd been washed away 
 By too many through the day 
 Twelve o'clock tales 
 Then you came along 
 With your siren song 
 To tempt me to madness 
 I thought for awhile 
 That your poignant smile 
 Was tinged with the sadness 
 Of a great love for me 
 I guess I was wrong 
 Again, I was wrong 
 Life is lonely again 
 And only last year everything seemed so sure 
 Now life is awful again 
 A troughful of hearts could only be a bore 
 A week in Paris might ease the bite of it 
 All I care is to smile in spite of it 
 I'll forget you I will 
 While yet you are still 
 Burning inside my brain 
 Romance is mush 
 Stifling those who strive 
 I'll live a lush life 
 In some small dive 
 And there I'll be 
 While I rot with the rest 
 Of those whose lives are lonely, too 
 Lush life",0.144,0.734,0.122,-0.4604
6m8Z99khlusHMbGEBWNHDB,30PgYnoeT2PAgFNuYLR5qd,2016-12-29T17:45:39Z,"Empty Bed Blues, Pt. 2",Bessie Smith,0.801,0.0485,5,-12.151,1,0.0554,0.994,0.000121,0.112,0.494,84.526,audio_features,6m8Z99khlusHMbGEBWNHDB,spotify:track:6m8Z99khlusHMbGEBWNHDB,https://api.spotify.com/v1/tracks/6m8Z99khlusHMbGEBWNHDB,https://api.spotify.com/v1/audio-analysis/6m8Z99khlusHMbGEBWNHDB,199733,4,,,,,
53zrZribB4xc2uRzZXWKCT,30PgYnoeT2PAgFNuYLR5qd,2016-12-29T17:45:26Z,"2 Arabesques, L. 66: No. 1 in E Major",Claude Debussy,0.252,0.00676,4,-31.909,1,0.0358,0.991,0.955,0.062,0.0897,109.115,audio_features,53zrZribB4xc2uRzZXWKCT,spotify:track:53zrZribB4xc2uRzZXWKCT,https://api.spotify.com/v1/tracks/53zrZribB4xc2uRzZXWKCT,https://api.spotify.com/v1/audio-analysis/53zrZribB4xc2uRzZXWKCT,273413,3,,,,,
